"Year","Month","TII"
2018,9,-1.213
2018,10,-0.803
2018,11,0.723
2018,12,0.478
2019,1,0.007
2019,2,-0.069
2019,3,0.408
2019,4,0.609
2019,5,0.703
2019,6,-0.132
2019,7,-1.429
2019,8,-2.193
2019,9,-2.259
2019,10,-1.298
2019,11,-1.066
2019,12,-1.114
2020,1,-0.684
2020,2,-1.992
2020,3,-1.357
2020,4,-1.096
2020,5,-1.606
2020,6,-1.832
2020,7,-2.429
2020,8,-3.616
2020,9,-3.703
2020,10,-3.915
2020,11,-2.98
2020,12,-2.678
2021,1,-2.432
2021,2,-2.5
2021,3,-2.055
2021,4,-1.525
2021,5,-1.069
2021,6,-1.197
2021,7,-1.86
2021,8,-2.531
2021,9,-4.087
2021,10,-4.776
2021,11,-4.633
2021,12,-3.103
2022,1,-2.672
2022,2,-2.34
2022,3,-1.777
2022,4,-2.499
2022,5,-2.818
2022,6,-2.217
2022,7,-1.898
2022,8,-3.728
2022,9,-6.381
2022,10,-4.874
2022,11,-3.573
2022,12,-2.729
2023,1,-2.559
